63;52;64;35;59
22;57;2;1;40
70;48;28;23;7
39;32;29;25;59
22;42;30;25;28
4;32;3;21;28
51;0;47;3;50
9;44;7;34;34
64;64;26;33;39
8;55;27;42;57
24;33;25;23;33
21;64;40;37;54
36;63;34;15;56
57;41;56;5;16
45;22;41;58;9
37;11;48;59;11
47;55;16;60;4
5;36;46;8;40
25;59;55;60;9
34;47;7;66;64
2;54;27;13;57
31;52;49;62;62
70;11;9;18;18
33;50;23;19;49
17;14;41;69;4
8;15;20;27;37
52;59;55;9;59
68;6;55;17;67
11;29;20;14;29
68;52;45;64;51
20;31;60;36;39
3;70;55;51;39
32;62;11;38;61
36;27;60;15;69
49;7;1;53;7
30;38;68;63;37
30;0;67;61;66
26;31;24;67;45
